sample_id	trait1	trait2	trait3
id0001	0.419552306759335	-1.52152480563684	-0.981403504300038
id0002	0.668075349002233	-4.01471622299747	0.0320905524113071
id0003	0.238321707983185	-2.46238863974135	-0.535399255925506
id0004	-0.590072388584072	-2.19167650596893	0.592483709963756
id0005	1.73809014064636	-2.48444347543861	1.24359158070775
id0006	-0.17778669279322	-3.72430450598625	0.4233716915168
id0007	0.893369302968363	-1.20898879612036	1.09138958470825
id0008	0.966936464278274	-1.20395197921929	-0.380375440659569
id0009	0.806737844816933	-2.0470299428285	-0.988396722061663
id0010	-0.897754439447967	-0.923484106878561	0.020688596191755
id0011	0.0794564928400434	-0.783058407633259	-2.53406378390666
id0012	0.578865156133809	-2.6847549624814	1.36588424007343
id0013	1.47731711204132	-2.72737251551052	-0.944573665501912
id0014	-0.168473592831404	-0.654023423864404	-1.42686671818188
id0015	0.761709516260969	-1.62355774986125	-0.57719199407653
id0016	2.01104839636257	-1.80870272582213	1.53626227308443
id0017	-0.334168833309912	-5.1799175356676	0.170684011270866
id0018	1.18793471634084	-2.12545597003309	0.72743990844768
id0019	0.078037478526967	-1.50261508598195	0.0778806021070452
id0020	0.714145731234777	-1.35872749242814	0.243977287115919
id0021	1.86435984475789	-2.22717435543196	-2.53674456221362
id0022	0.359004652095594	-2.16051603258857	-0.661545297456507
id0023	1.42505124304622	-1.76060856537093	-0.526702141289979
id0024	-1.88448280037396	-1.54229761500733	-2.07751185521534
id0025	1.51313711186466	-2.1831798903108	-2.45777331451574
id0026	0.549635795918398	-4.11593926352874	-1.24069359266115
id0027	-0.575577599816388	-1.8463392789428	-0.964923424051404
id0028	1.71662089455299	-1.90977927478775	0.821268862819387
id0029	0.678017613965939	-0.876749760027091	-0.907850896667134
id0030	0.855437801563619	-2.17730742749436	-0.999918614996856
id0031	2.33483605577623	-2.40835067552561	-2.14211728881316
id0032	0.0422631866642243	-2.45626868377384	-1.63840122393806
id0033	-0.0896865578029301	-0.850702811899253	-1.77136329953591
id0034	-0.757280803653299	-3.54260637389976	0.936816179652702
id0035	2.64015488874237	-2.93209854780035	-2.54257684773721
id0036	0.40138164594541	-1.62079334764335	-0.303852891770044
id0037	-0.120763115561928	-3.17161795523372	-0.563477703729685
id0038	0.136838152500329	-2.11314891750135	1.10123223967906
id0039	-1.26467538738062	-0.703310721664514	-0.721397886940599
id0040	-0.849218461333476	0.281633116837025	-0.435858623155284
id0041	-0.258434262783499	-2.98747425587756	2.52550760420514
id0042	-0.258549408531614	-2.2305507002302	-1.57346334601509
id0043	1.32453982463129	-1.74080078352048	-0.321284999152005
id0044	-0.615864546923445	-2.55039891634352	-0.195468776766186
id0045	1.76546022657971	-3.30007812552566	-0.938269480112273
id0046	1.21889015226675	-0.928161379404289	-1.06137584428482
id0047	-0.657405892978432	-0.459271144594648	-1.68991687726129
id0048	0.808470819365998	-1.66472855944215	-1.52080976250274
id0049	0.22026960836835	-3.24141727277581	0.74033873548641
id0050	1.29084102284165	-1.77706499119196	-0.745952268539152
id0051	1.68124682960391	-1.98388827196815	-0.924255449752981
id0052	-0.569547154915396	-3.03315900784401	-1.22919800861168
id0053	0.404061401161633	-1.45120528092858	-1.0405506504069
id0054	0.669860121560992	-2.9388438000532	-0.294368432407005
id0055	-1.60208241170196	-2.37986520476599	-0.172995138869195
id0056	0.746082185806947	-1.60618420965631	0.924583833771237
id0057	-0.157688969357317	-2.6727397065505	-0.4488629256396
id0058	1.14443502440803	-1.96647010820506	-0.444732770054107
id0059	1.07824571937104	-3.96540504158269	0.415789222040276
id0060	0.207306549770619	-2.44807364156531	-0.902665878950608
id0061	0.366102204795675	-3.61672547667252	-1.08873458178376
